DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
7,6.69,6.04,5.71,120.74733724,212.3880459320229,122.03095200000001,315,10
8,6.93,6.32,6.49,148.75562856000002,239.66849789929526,138.400416,315,10
9,5.71,5.1,5.08,77.41914919999999,129.94061297726972,74.25855,315,10
12,6.68,5.62,5.72,112.37952821333333,190.19743323045532,105.491896,315,10
13,7.86,7.46,6.43,197.31074851999998,371.25947390085116,218.710788,315,10
14,5.3,5.22,6.56,94.97922239999998,120.3247709279791,72.20826,315,10
15,6.33,6.17,6.37,130.19871683,201.82213482382951,120.4880685,315,10
19,5.58,4.95,6.9,99.73943100000001,120.03131981566058,68.361975,315,10
20,6.03,4.7,6.32,93.73691280000001,124.75508020811944,66.60135000000001,315,10
21,5.91,5.02,5.23,81.20285234,133.6202505265266,74.46718199999998,315,10
22,6.07,5.74,7.15,130.37220863333334,170.05380735704833,99.99596600000001,315,10
23,7.39,5.94,6.86,157.59172044,240.4815761659901,130.372902,315,10
26,7.08,6.47,6.89,165.17151715999998,256.35499985530396,148.18758599999998,315,10
27,9.51,9.3,7.33,339.2702961,687.7501327364931,411.25995000000006,315,10
28,8.74,8.57,7.3,286.14984326666666,536.0112025577381,320.95421300000004,315,10
29,9.04,7.94,7.96,299.00634090666665,502.8273407495459,284.957072,315,10
34,9.39,8.89,8.63,377.01319187000007,630.6472619234067,371.0557095000001,315,10
35,12.41,10.8,7.83,549.2065356,1283.0063035681787,723.7512000000002,315,10
36,10.68,8.73,7.45,363.5131842,744.4126236706913,406.97688600000004,315,10
37,10.86,9.77,8.77,486.97019385999994,903.6953926453155,518.3092469999999,315,10
41,11.06,10.23,8.55,506.2619331000001,995.1341396768042,578.730537,315,10
42,10.49,10.13,8.49,472.14024547,905.7594732516469,538.2256405,315,10
43,13.05,11.93,9.51,774.8361418499999,1606.2454766541664,928.6699725,315,10
44,11.02,10.04,8.67,502.0105018399999,962.295479463134,555.4168159999998,315,10
47,12.71,12.67,10.55,889.1049389833335,1689.7355173029098,1020.1611595,315,10
48,14.58,12.93,11.22,1106.94821292,2140.274898004391,1218.777921,315,10
49,16.96,15.87,12.37,1742.4120745599996,3651.233830044858,2135.7465119999997,315,10
0,5.89,5.2,3.87,62.0308884,140.15656407847254,79.6328,327,11
1,5.59,5.58,3.07,50.11442826,144.04709188180547,87.026238,327,11
2,5.44,5.42,3.45,53.234806400000004,132.38316623907107,79.90380800000001,327,11
3,5.78,5.05,3.27,49.9511357,130.39601206330883,73.702225,327,11
6,4.55,4.53,4.5,48.5400825,77.37486114394967,46.6850475,327,11
7,6.38,5.09,4.27,72.5679297933333,153.01823076329794,82.64683899999999,327,11
8,6.2,5.97,4.77,92.3980482,186.2020746652435,110.48678999999998,327,11
9,5.89,5.47,4.5,75.8740965,151.21309979934531,88.11705049999999,327,11
13,7.4,7.24,4.18,117.19928586666667,324.258159674299,193.94512,327,11
14,7.0,6.57,4.75,114.323475,257.88768226067975,151.07715000000002,327,11
15,7.78,7.25,5.94,175.340583,350.2772165678839,204.46812500000001,327,11
16,6.18,5.69,4.29,78.94714542,172.41958556505517,100.042149,327,11
17,8.09,7.39,5.64,176.46170116,382.2301357357642,220.90594449999998,327,11
20,9.08,8.33,5.11,202.26938209333332,543.9159063106943,315.02560600000004,327,11
21,8.61,7.97,5.52,198.23436695999993,470.0322900572246,273.4574745,327,11
22,9.34,8.47,6.07,251.30282767333335,581.8096422669814,335.030003,327,11
23,9.53,8.12,6.51,263.63818683999995,562.8710074679309,314.1774159999999,327,11
28,8.14,7.22,4.76,146.40198085333333,372.54427026605015,212.162588,327,11
29,13.21,10.61,7.88,577.9933166533333,1372.027407600035,743.5387205,327,11
30,13.55,12.98,7.94,730.8241460666668,1928.6635205616121,1141.45471,327,11
31,11.47,10.12,6.65,403.96521806666664,1034.073432286437,587.346584,327,11
34,12.8,11.18,7.88,590.1418154666667,1415.5106603940296,799.95136,327,11
35,13.53,13.22,8.02,750.7269690799999,1978.014005194874,1182.308226,327,11
36,14.22,13.11,7.64,745.37366472,2104.693776015432,1222.0106309999999,327,11
37,15.26,14.65,9.02,1055.3028075333332,2763.908885751203,1637.569675,327,11
41,18.09,16.55,13.37,2094.81835185,4283.416764574744,2477.4481125,327,11
0,8.68,7.0,7.08,225.127952,391.6175376762975,212.66,344,12
1,8.79,8.46,7.49,291.48717653999995,530.2422649067627,314.55718200000007,344,12
2,8.82,7.5,6.45,223.28932500000002,444.86706783472096,248.0625,344,12
5,10.66,9.88,9.13,503.22629309333337,893.7307662323605,520.2847520000001,344,12
6,12.1,10.96,9.27,643.3600008,1262.7848745638828,726.7356800000001,344,12
7,11.48,10.51,9.42,594.80403304,1095.853226815812,634.040974,344,12
8,11.41,10.79,8.43,543.1415926299999,1129.5257038032257,664.1994904999999,344,12
12,10.2,9.78,7.95,415.0348379999999,823.8421814806071,487.80683999999985,344,12
13,12.62,10.66,9.79,689.2513875866665,1290.209763508021,717.040636,344,12
14,12.04,10.79,9.69,658.7947147599999,1224.35506459256,700.8730819999998,344,12
15,11.88,11.71,8.06,586.7955007200002,1356.7364354219437,814.5171540000002,344,12
16,12.58,10.82,8.88,632.55641632,1313.0985974812236,736.385396,344,12
20,12.15,10.65,12.41,840.38069025,1217.094537379565,689.0416875000001,344,12
21,14.41,11.81,9.55,850.5417721166667,1835.7194198361312,1004.9253005,344,12
