DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
8,10.02,8.63,6.27,283.74254238,664.8952961487797,373.1292690000001,68.0,7
9,9.25,9.19,5.02,223.3260368333333,648.0691538541072,390.60946249999995,68.0,7
10,9.68,9.02,5.78,264.11199818666665,674.6186247137094,393.784336,68.0,7
13,11.46,10.65,7.62,486.70700220000003,1114.9023291628762,649.9109250000001,68.0,7
14,12.82,11.79,8.02,634.38746964,1536.5200441161076,891.0162809999999,68.0,7
15,11.76,11.62,8.06,576.40387168,1320.856565747697,793.9434719999999,68.0,7
16,14.17,12.53,7.99,742.4139064766666,1956.2162693731118,1112.3513764999998,68.0,7
19,13.73,11.21,9.32,750.7069903066669,1578.8821301094451,862.6840465000001,68.0,7
22,14.01,12.38,9.1,825.9971902,1888.746421864883,1073.617122,68.0,7
23,14.67,12.96,8.49,844.7363899200001,2167.644996933147,1231.9983360000003,68.0,7
26,13.02,12.26,9.11,761.0237826799998,1667.5837954376675,978.502476,68.0,7
27,14.88,14.32,10.19,1136.3144537599999,2571.90195409006,1525.664256,68.0,7
28,14.17,13.48,9.32,931.6527119466667,2182.8560576410555,1287.418184,68.0,7
29,15.31,14.44,7.44,860.78307104,2717.997547607604,1596.171608,68.0,7
30,14.12,13.09,8.08,781.5631988266666,2077.7677425610427,1209.7175859999998,68.0,7
33,16.49,11.18,6.71,647.3861098466666,2069.8037689945677,1030.5623379999997,68.0,7
34,13.82,13.44,7.68,746.52942336,2093.1312047314364,1248.178176,68.0,7
35,12.68,11.69,9.62,746.2549664266664,1492.2312536104462,866.3996739999999,68.0,7
36,13.46,13.17,7.58,703.19931364,1951.5592310079999,1167.3110970000002,68.0,7
37,15.16,14.27,9.5,1075.5365593333331,2630.996354081503,1543.5373819999998,68.0,7
40,15.27,14.4,10.24,1178.3651327999999,2696.111062437222,1583.1936,68.0,7
41,15.78,14.79,8.59,1049.17210302,2948.1409550100334,1725.8909489999996,68.0,7
42,14.88,14.76,8.96,1029.8540851200003,2691.345277099159,1620.8605440000001,68.0,7
43,16.34,12.99,10.05,1116.3635877000002,2556.979755317348,1378.6066170000001,68.0,7
44,14.75,14.38,11.1,1232.1179450000002,2554.2408376088993,1525.0349500000002,68.0,7
47,15.95,14.64,12.21,1492.0927692,2950.4491275628875,1709.2785600000002,68.0,7
48,16.67,16.46,11.78,1691.5666679066667,3758.232386027308,2258.214886,68.0,7
0,9.52,8.42,6.03,252.95586288,593.4157166804066,337.466864,69.0,8
1,8.79,8.55,6.96,273.7427508,538.7260413944872,321.2854875,69.0,8
2,10.96,10.78,7.12,440.2381819733333,1061.8898194247627,636.8220319999999,69.0,8
3,11.83,10.99,10.53,716.4554751899998,1225.770429510616,714.4142915,69.0,8
6,9.62,7.83,8.11,319.69517813999994,540.5560542007643,294.895809,69.0,8
7,11.51,10.44,8.79,552.7682564399998,1089.1788966427173,627.258168,69.0,8
8,12.4,12.21,12.73,1008.6584948000002,1540.4283696395748,924.3214200000002,69.0,8
9,13.33,12.56,9.78,856.91361136,1791.2869743513397,1051.427744,69.0,8
10,13.1,12.34,8.86,749.5464902666666,1699.4765158277137,997.40518,69.0,8
13,12.97,11.48,10.76,838.4410499733333,1502.3055817943966,854.660744,69.0,8
14,13.29,11.9,8.99,744.0635530999999,1644.5360500812355,940.99845,69.0,8
15,14.12,12.16,10.61,953.3712546133332,1860.321015205475,1043.931136,69.0,8
16,15.01,14.25,11.89,1330.93182175,2586.5972977542265,1523.9840625,69.0,8
20,19.29,16.19,13.89,2270.17700241,4563.563513796676,2528.1097845,69.0,8
0,6.0,6.0,6.0,113.03999999999999,178.60320000000004,108.0,105.0,9
6,7.19,6.46,4.84,117.64816770666667,261.7445196069479,150.025102,105.0,9
7,8.99,8.02,6.55,247.14609776666666,506.2168239190243,289.12019799999996,105.0,9
8,8.51,7.23,5.28,170.01223536,399.05914774464316,222.42118950000003,105.0,9
11,11.44,10.51,6.83,429.7618315466666,1090.1307629006528,631.831772,105.0,9
12,10.74,10.32,6.67,386.89062864,964.8536689357642,571.9178880000001,105.0,9
13,10.64,9.94,5.97,330.43096687999997,899.3474408402374,525.635152,105.0,9
14,11.03,9.06,7.73,404.26077266,826.0209263063887,452.691054,105.0,9
15,11.17,10.74,7.88,494.72296375999997,1086.4798252700302,644.216346,105.0,9
18,12.27,11.74,6.45,486.2400999,1429.5668673595076,845.5723260000001,105.0,9
19,13.23,11.35,8.84,694.6825158,1521.489793014013,852.1608375,105.0,9
20,14.34,12.69,9.35,890.4320468999999,2029.7925061199487,1154.6288369999997,105.0,9
21,13.62,12.74,9.28,842.6998361599999,1889.9716426061862,1105.314756,105.0,9
25,16.11,13.54,11.13,1270.5383161799998,2663.831755278673,1476.7360379999998,105.0,9
